Time (s),Acceleration Without HSI (m/s²),Acceleration With HSI (m/s²)
0.56,-0.00030877548140847684,-0.0003087698140269474
0.5700000000000001,-0.0007010919481282745,-0.0007010814061706734
0.58,-0.0009640766006051339,-0.0009640679093463777
0.59,-0.0011795195040534632,-0.0011795152465464967
0.6,-0.0014385673124760055,-0.0014385635709646414
0.61,-0.0017468863764625428,-0.0017468769102327454
0.62,-0.00202029950283661,-0.0020202825303854326
0.63,-0.002171930068591009,-0.0021719107183358626
0.64,-0.0022029388308262066,-0.0022029242139125836
0.65,-0.0022066307948986493,-0.00220662204028015
0.66,-0.002280909006795444,-0.0022808982119542063
0.67,-0.0024333031367230634,-0.0024332789989066606
0.68,-0.002569948922743005,-0.0025699064217336856
0.6900000000000001,-0.0025790315785743276,-0.0025789766505006557
0.7000000000000001,-0.0024291516068524564,-0.0024290960643549085
0.71,-0.0021903201418648046,-0.002190271443151916
0.72,-0.0019607925822324444,-0.0019607483580055853
0.73,-0.0017728107922468893,-0.0017727636914386356
0.74,-0.0015681830971720034,-0.0015681312869459331
0.75,-0.0012648159548769888,-0.0012647684935267276
0.76,-0.0008466817301532792,-0.0008466525201453556
0.77,-0.0003880072613015737,-0.00038800256716652005
0.78,1.244348473319941e-05,1.243186829584159e-05
0.79,0.0003233245752297668,0.000323312996830911
0.8,0.0006097712521952356,0.0006097696894383379
0.81,0.0009711458312918051,0.0009711485552871029
0.8200000000000001,0.001446514150619808,0.0014465046000398463
0.8300000000000001,0.0019768588217805483,0.0019768242363224623
0.84,0.002457670210098446,0.002457611896076278
0.85,0.0028293342037746037,0.0028292632827017117
0.86,0.0031187417713876846,0.0031186645861630206
0.87,0.003395217897431061,0.0033951260425600298
0.88,0.0036877081082838685,0.0036875842261843883
0.89,0.003946728751738294,0.003946563805416421
0.9,0.004089393101110199,0.004089198663681204
0.91,0.004083771633039157,0.004083574289228794
0.92,0.0039897593047406935,0.003989580958105319
0.93,0.0039148734090685275,0.003914715263936357
0.9400000000000001,0.003924541181477543,0.003924386415869268
0.9500000000000001,0.003989199474370034,0.003989032066796449
0.96,0.0040145955650709286,0.004014417104165836
0.97,0.003922760717750502,0.003922588859328375
0.98,0.0037054294172799577,0.003705279785223546
0.99,0.003402053552598037,0.0034019238248422443
1.0,0.00302997871115195,0.0030298523167715686
1.01,0.002541051617946042,0.0025409193185062674
1.02,0.0018521581025554008,0.0018520370633970694
1.03,0.000923841710602014,0.000923772257925415
1.04,-0.00018722566394124797,-0.0001872050465864687
1.05,-0.0013529132785329492,-0.0013527911592459032
1.06,-0.0024544060822632927,-0.0024542009427018334
1.07,-0.003446618691353612,-0.003446357651787543
1.08,-0.00435159315324318,-0.00435128764624772
1.09,-0.0051948531640966305,-0.005194495211343788
1.1,-0.005951478636253351,-0.005951060575790017
1.11,-0.006555553928482784,-0.006555090299254683
1.12,-0.006961919240190335,-0.006961446151360938
1.1300000000000001,-0.007196540369111343,-0.007196089378518969
1.1400000000000001,-0.007342248847941658,-0.007341818579139269
1.1500000000000001,-0.0074693531698872846,-0.007468906597675785
1.16,-0.007574508094831856,-0.007574000795019008
1.17,-0.007584274212631621,-0.007583689872820664
1.18,-0.007419128450354868,-0.007418490660807971
1.19,-0.007057864198858674,-0.007057215727190005
1.2,-0.006544380596876787,-0.006543752068055392
1.21,-0.005935545125840586,-0.0059349444048734335
1.22,-0.0052446915880892024,-0.005244123594141416
1.23,-0.004436922876773753,-0.0044364178268389825
1.24,-0.003479528572602803,-0.003479146282828844
1.25,-0.0023957793780235645,-0.0023955795641266687
1.26,-0.0012666195104563114,-0.0012666221795904855
1.27,-0.00017546632416342596,-0.00017563882680531986
1.28,0.0008530930879143814,0.00085280842471519
1.29,0.0018631898921258568,0.001862830759284315
1.3,0.0029169054518397835,0.002916466436799206
1.31,0.004030179106480279,0.00402962867695429
1.32,0.005153614292284297,0.005152931824521257
1.33,0.006212233729196152,0.006211428107411031
1.34,0.007162416948961619,0.00716150802507744
1.35,0.00801038863065846,0.008009371744919176
1.36,0.008776857571417874,0.008775690863540044
1.37,0.009446540659843246,0.009445174624594455
1.3800000000000001,0.009956463489549242,0.00995489065520258
1.3900000000000001,0.010238748997132972,0.010237029129468177
1.4000000000000001,0.010279554505877184,0.010277790468893313
1.41,0.010138378598850925,0.010136662411844903
1.42,0.009907883651791247,0.009906259193315097
1.43,0.009649025243300675,0.00964749728854695
1.44,0.009357557716855576,0.009356132375005528
1.45,0.008986529839072806,0.00898524219029312
